Name,Website,Type,Parent Company,Country HQ,DT Only?,# DT deals in portfolio,Size of current DT fund(s),Date of current DT fund(s),Pre-seed,Seed,Series A,Series B+,Min ticket,Max ticket,Europe,Israel,USA,Canada,Asia,Worldwide,Other,Aerospace,AI/ML,Electronics,Industry 4.0 / Robotics,Energy,Materials,Healthtech,Biotech,Food & Ag,Cleantech,Mobility,Specific or additional focus,linkedin-private-codex,linkedin-private-claude
8VC,https://8vc.com,VC,,USA,No,,$640M,"Apr , 2018",x,x,,,,,x,x,x,x,x,x,,,x,,x,x,,x,x,,,x,"Health & Bio-IT, Industry 4.0, Energy",https://www.linkedin.com/in/drew-oetting-52463337,https://www.linkedin.com/in/drew-oetting-52463337
8X Ventures,http://8xventures.co/,VC,,UAE,Yes,9,$18M,Ongoing,,x,x,,$200K,$1M,x,,,,x,,,x,x,,x,x,,x,x,x,x,x,"Fintech, Logistics",,
A2A,https://www.a2a.eu/en/innovation/corporate-venture-capital,CVC,A2A,Italy,No,,--,--,,x,x,,,,"Italy, Southern Europe",,,,,,,,,,,x,,,,,,x,"Cities of the futures, Circular Economy",,
Abacus Alpha,https://ab-alpha.de/en,VC,,Germany,No,5+,--,--,,,x,x,,,x,,,,,,,,x,,x,,x,,,,x,,,,
ABB Technology Ventures,https://new.abb.com/about/technology/ventures,CVC,ABB,Switzerland,Yes,30+,--,--,,x,x,x,,,x,x,x,x,x,x,,,x,x,x,x,x,,,,x,x,,,
Abies Ventures,http://abies.vc/,VC,,Japan,Yes,5+,$40M,--,,x,x,x,$250K,$3M,x,,x,x,"Japan, Singapore",,,,x,x,x,x,x,,,,,x,"IoT, Semiconductors, materials, AI, Robotics",,
Abingorwth,https://www.abingworth.com,VC,,UK,Yes,100+,$315M,"Jul , 2018",,,x,x,$15M,$30M,x,,x,,,,,,,,,,,x,x,,,,,,
Accel,http://www.accel.com/,VC,,USA,No,,$3B,"Jul , 1905",,x,x,x,,,x,,x,,India,,,,x,x,x,,,x,,,,x,"Media, Mobile, Consumer, Cybersecurity",https://www.linkedin.com/in/sonalidrathod,https://www.linkedin.com/in/sonalidrathod
Access Ventures,https://accessvp.com,VC,,USA,No,--,,,x,x,x,x,$100K,$10M+,,,x,,,x,,,x,,,,,,,,x,,,,
ACME Capital,https://www.acme.vc/,VC,,USA,No,,$300M,"Jan, 2022",,,x,x,,,,,x,,,,,x,x,,x,,,x,,,,x,"Consumer, Enterprise",,
Acorn Pacific Ventures,https://www.acornpacific.ventures,VC,,USA,No,"Jan , 1900",$9M,"Apr , 2019",,x,x,x,,,,,x,,x,,,,x,x,x,,,,,,,,,,
Acre Venture Partners,http://acre.vc/,VC,,USA,No,,$125M,"Feb , 2016",,x,x,x,,,,,x,,,,,,,,,,,,,x,,,,"https://www.linkedin.com/in/alex-b-5b94887, https://www.linkedin.com/in/bill-helman-1b63083, https://www.linkedin.com/in/david-chang-18b5bb1bb, https://www.linkedin.com/in/dunnbolthouse, https://www.linkedin.com/in/gareth-asten-5709801ab, https://www.linkedin.com/in/lucas-mann-4370221b5, https://www.linkedin.com/in/lynda-deakin-a81b352, https://www.linkedin.com/in/maisie-kirn-58465912a",
Act One,https://www.actoneventures.com/,VC,,USA,No,,$23M,"Jun , 2018",,x,,,$300K,$700K,,,Los Angeles,,,,,,x,,x,,,x,,,,,Enterprise software & research,,
