Name,Website,Type,Parent Company,Country HQ,DT Only?,# DT deals in portfolio,Size of current DT fund(s),Date of current DT fund(s),Pre-seed,Seed,Series A,Series B+,Min ticket,Max ticket,Europe,Israel,USA,Canada,Asia,Worldwide,Other,Aerospace,AI/ML,Electronics,Industry 4.0 / Robotics,Energy,Materials,Healthtech,Biotech,Food & Ag,Cleantech,Mobility,Specific or additional focus,linkedin-private-codex,linkedin-private-claude
Rockstart Energy Fund,https://www.rockstart.com/energy/,Accelerator VC,Rockstart,Netherlands,No,--,€27M,"Mar , 2022",,x,,,€130K,€2M,x,,,,,,,,,,,x,,,,,x,x,,"https://www.linkedin.com/in/antoanst, https://www.linkedin.com/in/camilo-leyva-b3a6b0148, https://www.linkedin.com/in/daniel-camilo-moreno, https://www.linkedin.com/in/david-santiago-mu%C3%B1oz-80835b127, https://www.linkedin.com/in/dirimsukanat, https://www.linkedin.com/in/elsy-triana-363549b7, https://www.linkedin.com/in/emmadenhond, https://www.linkedin.com/in/felipesantamariap, https://www.linkedin.com/in/gemkua, https://www.linkedin.com/in/helen-morrow, https://www.linkedin.com/in/iv%C3%A1n-bustos-2a67a9186, https://www.linkedin.com/in/jakobgaard, https://www.linkedin.com/in/josephine-dufour-0032b3aa, https://www.linkedin.com/in/leyli-ibrahimova, https://www.linkedin.com/in/mar%C3%ADa-camila-rueda-808814128, https://www.linkedin.com/in/mark-durno-b192b744, https://www.linkedin.com/in/martindahlcarstensen, https://www.linkedin.com/in/max-ter-horst-b83562, https://www.linkedin.com/in/mickvalentin, https://www.linkedin.com/in/natalimutli, https://www.linkedin.com/in/raphael-sars-5b4644160, https://www.linkedin.com/in/reneeclairebelting, https://www.linkedin.com/in/roy-de-weerd-12460125, https://www.linkedin.com/in/runetheill, https://www.linkedin.com/in/sofija-bogeva-60318635, https://www.linkedin.com/in/zarazander",
Rockwood Equity,https://www.rockwoodequity.com/,VC,,USA,No,,$85M,"Jul , 2017",,,x,x,,,,,x,,,,,x,x,x,x,x,,x,,,x,,,,
Rogue Capital,http://rogue.capital/,VC,,USA,No,,--,--,x,x,,,,,x,x,x,x,x,x,,,x,,x,,,,,,,,"AI/ML, AR/VR, Cryptocurrency, Enterprise, FinTech, Gaming, General Software, Marketplaces, RetailTech, Robotics",,
Romulus Capital,http://www.romuluscap.com/,VC,,USA,Yes,30+,$83.2M,"Jun , 2018",,x,x,x,$100K,$1M,UK,,x,,India,,,,x,x,x,x,x,,,x,x,x,Retail and real estate,,
Root,https://www.root.vc/#home-section,VC,,USA,Yes,20+,$76M,"Jul , 2018",x,x,,,$500K,,,,,,,,,,x,,x,,,,,,,,Software/Hardware/Industrial,,
rpv,https://rpv.global,VC,,USA,Yes,,,,X,X,,,$250K,$1.5M,,,,,,,,,,X,X,X,X,,X,,,X,,,
RRE Ventures,https://www.rre.com/,VC,,USA,No,,$265M,"Jun , 2018",,,x,x,,,,,x,x,,,,x,x,x,x,,,x,,,,,"Enterprise & Consumer, Fintech, Media, Real estate",,
RTA Ventures,http://www.rtaventures.com/,VC,,Poland,No,,--,--,,x,x,,,,x,,,,,,,,x,,,,,x,,,,,SaaS,,
Ruffena Capital,https://www.ruffena.co.uk/,VC,,UK,No,,--,--,,x,x,x,,,x,,x,,,,,,,,x,x,,x,x,x,,,Digital & Consumer,,
Run Ventures,https://run.vc/,VC,,USA,No,,$290M,Sep 2025,,,,x,,,,,x,,x,,,,x,x,,,,,,,,,,,
Runa Capital,http://www.runacap.com/,VC,,USA,No,5+,$157M,"May , 2020",,x,x,x,$1M,$10M,x,,x,x,,,,,x,x,x,,,x,,,,,"Quantum computing, Cloud infrastructure, Open source, B2B SaaS, Fintech, edutech","https://www.linkedin.com/in/achimweiss, https://www.linkedin.com/in/alexander-artope-b87, https://www.linkedin.com/in/andrebliznyuk, https://www.linkedin.com/in/annaelokhina, https://www.linkedin.com/in/borkowskimichal, https://www.linkedin.com/in/denis-kalinin-%E6%9D%B0%E5%B0%BC%E6%96%AF-009598a0, https://www.linkedin.com/in/dennygabriel, https://www.linkedin.com/in/dmitrychikhachev, https://www.linkedin.com/in/galperin, https://www.linkedin.com/in/evgeniy-chernyavskiy, https://www.linkedin.com/in/gaugi, https://www.linkedin.com/in/igorsysoev, https://www.linkedin.com/in/jhaveri, https://www.linkedin.com/in/jim-herman-2b183020, https://www.linkedin.com/in/kirill-tatarinov-493a0119, https://www.linkedin.com/in/kostyagnyp, https://www.linkedin.com/in/kvinogradov, https://www.linkedin.com/in/michael-fanfant-6776a770, https://www.linkedin.com/in/montywi, https://www.linkedin.com/in/murat-akuyev-abb8222, https://www.linkedin.com/in/stulibby","https://www.linkedin.com/in/achimweiss, https://www.linkedin.com/in/alexander-artope-b87, https://www.linkedin.com/in/andrebliznyuk, https://www.linkedin.com/in/annaelokhina, https://www.linkedin.com/in/borkowskimichal"
RunwayFBU,https://runwayfbu.com,VC,,Norway,No,,--,--,x,x,,,,,x,,,,,,,x,,x,x,x,,x,,x,x,x,,,
Ruvento,http://www.ruvento.com/,VC,,Singapore,No,,$25M,"Dec , 2016",x,x,,,,,,,x,,x,,,,x,,x,,,,x,,,x,Manufacturing,,
S Capital,https://www.scapitalvc.com/,VC,,Israel,Yes,,$120M,Apr. 2020,,,,x,,,,x,,,,,,,x,,,,,,,,,,,,
s2gventures,https://www.s2gventures.com,VC,,USA,No,20+,$300M,"Apr , 2023",,x,x,x,,,x,,x,x,,,,,,,,x,,,,x,x,,Sustainability,,
S3 Ventures,https://www.s3vc.com/,VC,,USA,No,"Jan , 1900",$250M,"Mar , 2022",,x,x,x,,,,,Texas,,,,,,x,,,,,x,,,,,"Business tech, Digital Experience, Healthcare",,
Saatchi Invest,http://www.saatchinvest.com,VC,,UK,No,--,,,,x,x,,,,x,,,,,,,,x,,,,,x,,,,,,,
Sabadell Venture Capital,https://bstartup.bancsabadell.com/en/investment/,CVC,Sabadell,Spain,No,,€60M,Feb. 2020,,x,x,x,€200K,€1M,Spain,,,,,,,,x,x,,,,x,,,,,"Big Data, IoT",,
Saban Ventures,https://www.sabanventures.com/,CVC,Savan Capital Group,USA,No,,--,--,,x,x,x,,,,x,x,,,,,,x,,,,,,,,,,"SaaS, Tech, DIgital Media",,
Sabic Ventures,http://www.ventures.sabic.com/,CVC,Sabic,Saudi Arabia,No,,,,,x,x,x,,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,,,
Safar Partners,https://safar.partners/,VC,,USA,No,30+,$192M,"May , 2019",,x,x,x,,,,,x,,,,,,x,x,x,x,x,x,x,,x,,,,
Safer Made,http://www.safermade.net/,VC,,USA,No,5+,$16M,"Jul , 1905",x,x,x,,$250K,$1.1M,,,x,,,,,,,,,,x,,,,x,,Removal/Reduction of use of hamful chemicals in products or manufacturing processes,,
Safran Corporate Ventures,https://www.safran-group.com/company/safran-corporate-ventures,CVC,Safran,France,Yes,10+,--,--,,x,x,,,,x,,x,,,,,x,,,x,,x,,,,,,,,
Sagana,https://www.sagana.com,VC,,Switzerland,Yes,"Jan , 1900",,,X,X,X,X,$300K,$5M,X,,X,X,X,,,,X,X,,X,X,X,X,X,X,X,,,
Sailing Capital,https://www.sailing-capital.com/#/,VC,,Hong Kong,No,,--,--,,x,x,x,,,x,x,x,x,x,x,,,x,x,x,,,x,x,x,,,,,
Salesforce Ventures Impact Fund,https://www.salesforce.com/company/ventures/impact/,CVC,Salesforce,USA,No,,$100M,--,,,,,,,,,x,,,,,,,,,,,x,,,x,,"Edutech, Social Impact",,
Samsung Catalyst Fund,https://samsungcatalyst.com/,CVC,Samsung,USA,No,,$500M,--,,x,x,x,,,x,x,x,x,x,x,,,x,x,x,,,x,,,,x,,https://www.linkedin.com/in/jihong-kim-a6696aa,https://www.linkedin.com/in/jihong-kim-a6696aa
Samsung Next,https://samsungnext.com/team/,CVC,Samsung,USA,No,20+,--,--,,x,x,x,$200K,$3M,x,x,x,x,x,x,,,x,x,x,,,x,,,,x,,https://www.linkedin.com/in/samuelscampbell,https://www.linkedin.com/in/samuelscampbell
Sandbox Industries,https://cultiviansbx.com,VC,,USA,No,,$135M,"Apr , 2019",x,x,x,x,$5M,$15M,x,x,x,x,x,x,,,,,,,,,,x,,,,,
Sands Capital Venture,https://sandscapitalventures.com/,VC,,USA,No,,--,--,,,x,x,,,,,x,,,,,,x,,x,,,x,x,,,,Consumer,,
Sangam Ventures,https://www.sangam.vc/,VC,,India,No,,--,--,,x,x,,,,,,,,India,,,,,,,x,,,,x,x,x,"Sustainability, Social","https://www.linkedin.com/in/ak19122000, https://www.linkedin.com/in/anishapatnaik, https://www.linkedin.com/in/deepika-sood, https://www.linkedin.com/in/iwank-negi-66999a11a, https://www.linkedin.com/in/karthikchandrasekar, https://www.linkedin.com/in/rahul-kumar-a127b7146, https://www.linkedin.com/in/rehya-sharma-125008208",
Sanofi Ventures,http://sanofiventures.com/,CVC,Sanofi,France,Yes,30+,€625M,"Sep , 2025",,x,x,x,,,x,,x,,,,,,,,,,,x,x,,,,Evergreen fund,"https://www.linkedin.com/in/anne-jammal-4a082629, https://www.linkedin.com/in/christopher-gagliardi-9453464a, https://www.linkedin.com/in/crisdeluca, https://www.linkedin.com/in/francesc-dosrius, https://www.linkedin.com/in/jason-p-hafler-5b81372b, https://www.linkedin.com/in/kriti-subramanyam, https://www.linkedin.com/in/laiacrespo, https://www.linkedin.com/in/mkrench, https://www.linkedin.com/in/paulinahill, https://www.linkedin.com/in/pierregaudeaux, https://www.linkedin.com/in/stephen-bychowski-33765740",
Saola Ventures,https://www.saola.ventures,VC,,,No,--,--,--,,x,x,,,,x,,x,,,,,,,,x,,,x,,x,x,,,,
Sap.io,https://sap.io/,CVC,SAP,USA,No,,$35M,Mar. 2019,,x,x,,,,x,x,x,x,x,x,,,x,,,,,,,,,,IT,,
Sapphire Ventures,https://sapphireventures.com/,VC,SAP (+ other LPs),Germany,No,,$1.4B,"Dec , 2019",,,x,x,,,x,x,x,x,x,x,,,x,,,,,,,,,,"IT, SaaS","https://www.linkedin.com/in/levinepaul, https://www.linkedin.com/in/cathylgao","https://www.linkedin.com/in/levinepaul, https://www.linkedin.com/in/cathylgao"
Satgana,https://www.satgana.com/,VC,,Luxembourg,No,1-5,€9m,"Oct , 2022",x,x,,,,,x,,,,,,Africa,,,,,x,,,,,x,x,,"https://www.linkedin.com/in/hugo-vautier-01a74042, https://www.linkedin.com/in/marijnwiersma, https://www.linkedin.com/in/agathe-terrou, https://www.linkedin.com/in/alexisangot, https://www.linkedin.com/in/anilmaguru, https://www.linkedin.com/in/elizabethcadavidc, https://www.linkedin.com/in/erynzander, https://www.linkedin.com/in/jamescrowley, https://www.linkedin.com/in/joanasgfonseca, https://www.linkedin.com/in/konstantin-behr-63815b94, https://www.linkedin.com/in/ljordanova, https://www.linkedin.com/in/martijnblomdroomzaken, https://www.linkedin.com/in/michaelnapper, https://www.linkedin.com/in/morgane-kablan-957024120, https://www.linkedin.com/in/mosomi, https://www.linkedin.com/in/patriciafsilva, https://www.linkedin.com/in/philippe-audebert-ab748a, https://www.linkedin.com/in/romaindiaz, https://www.linkedin.com/in/ryangrantlittle, https://www.linkedin.com/in/shahnazzkhan, https://www.linkedin.com/in/stephanie-delperdange",
Saturn Five,https://www.saturnfive.com/,VC,,USA,No,2,$1.1M,"Jan , 2020",,x,,,,,,,x,,,,,,x,,x,,x,x,x,,,,,,
SC Ventures Fintech Bridge,https://fintechbridge.scventures.io/public/homepage,CVC,Standard Chartered,UK,No,,--,--,,x,x,x,,,x,x,x,x,x,x,,,x,,,,,,,,,,Fintech,,
Scale Venture Partners,https://www.scalevp.com/,VC,,USA,No,,$400M,Jul. 2018,,,,x,,,x,x,x,x,x,x,,x,x,x,x,,,,,,,x,SaaS,"https://www.linkedin.com/in/davidawalter, https://www.linkedin.com/in/geyer-jones-30b144, https://www.linkedin.com/in/natetrustmind, https://www.linkedin.com/in/peterlgiordano, https://www.linkedin.com/in/sydsloan",
Scania Growth Capital,https://www.scania.com/group/en/home/about-scania/innovation/entrepreneurship/scania-growth-capital.html,CVC,Scania,Sweden,No,3+,€180M,Nov 2022,,x,x,x,,,x,x,x,x,x,x,,,x,x,x,x,x,,,,,x,"Strategic relevance to Scania and its ecosystem in the automotive- and transport industries. May include, but are not limited to, companies with products, services or solutions in digitalisation, autonomous vehicles, connectivity and smart factory.",,
Schematic Ventures,http://www.schematicventures.com/,VC,,USA,No,5+,$20M,"Jan , 2017",,x,x,,,,,,x,,,,,,,,x,,,,,,,,"Logistics, Manufacturing, Ecommerce, Infrastructure, Industrial",,
Science Angel Syndicate,https://www.scienceangelsyndicate.com,Angel Group,,UK,Yes,"Jan , 1900",--,--,x,x,x,,,,UK,,,,,,,x,,x,x,x,x,x,x,,x,,,,
ScienceVest,http://www.sciencevest.com/,VC,,USA,Yes,5+,--,--,,x,,,$125K,,,,x,,,,,x,x,x,x,x,x,x,,x,,,,,
Scientipole Capital,https://scientipolecapital.fr/,VC,,France,Yes,10+,--,--,,x,x,,€100K,€1M,France,,,,,,,,x,x,x,x,x,x,,x,x,,,"https://www.linkedin.com/in/fr%C3%A9d%C3%A9ric-zampatti-98a74315, https://www.linkedin.com/in/geoffroy-rosset-823b59, https://www.linkedin.com/in/jean-pierre-humbert-6ab55610, https://www.linkedin.com/in/nathalie-ric%C5%93ur-nicola%C3%AF-a616438, https://www.linkedin.com/in/s%C3%A9bastien-descarpentries-496730",
Scout Ventures,http://scoutventures.com/,VC,,USA,No,,$55M,"May , 2018",,x,x,,,,,,x,x,,,,x,x,x,x,,,,,,,x,,"https://www.linkedin.com/in/ambassador-kenneth-j-%E2%80%9Ckj%E2%80%9D-braithwaite-ba390511, https://www.linkedin.com/in/tim-kopra, https://www.linkedin.com/in/troy-lambeth-5688899",
Scrum Ventures,http://www.scrum.vc/,VC,,Japan,No,,--,--,,x,x,,,,,,x,,Japan,,,,x,x,x,,,,,,,,,,
SCVC,https://sciencecreates.co.uk/ventures/,VC,,UK,Yes,,,,x,x,x,,,,UK,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,,
SE Ventures,https://www.se.com/ww/en/about-us/ventures/,CVC,Schneider Electric,USA,No,10+,$520M,"Nov , 2022",,x,x,x,,,x,x,x,x,x,x,,,x,,x,x,x,,,,x,x,,,
SeaX Ventures,https://seaxventures.vc/,VC,,USA,No,,$60M,"Apr , 2022",,x,x,,,,x,x,x,x,x,x,,,x,x,x,,x,x,x,,,,,,
Seaya,https://seayaventures.com/,VC,,Spain,No,,€300M,"Sept, 2024",,,,x,,,x,,x,,,,LATAM,,x,x,x,x,,,,,x,,,,
Seb Alliance,https://www.groupeseb.com/fr/seb-alliance-corporate-venture-capital,CVC,SEB,France,No,,--,--,,x,x,,,,x,,,,,,,,x,x,,,,x,,,x,,"IoT, Welness",,
SEB Greentech,https://sebgroup.com/large-corporates-and-institutions/our-services/seb-greentech,VC,,Sweden,No,"Dec , 1899",300M SEK,"Nov , 2020",,,x,,,,Nordics,,,,,,,,,,,x,,,,,x,,,,
Seed Capital,http://seedcapital.dk/,VC,,Denmark,No,,€110M,May. 2016,,x,,,,,Denmark,,,,,,,,x,,x,,,,x,,x,x,,,
SeedCamp,http://seedcamp.com/,VC,,UK,No,,$180M,"May , 2023",,x,,,,,x,,,,,,,,x,,x,,,x,x,,,,"Consumer, Enterprise, SaaS","https://www.linkedin.com/in/carloseduardoespinal, https://www.linkedin.com/in/reshmasohoni, https://www.linkedin.com/in/tomwilsonseedcamp, https://www.linkedin.com/in/sia-houchangnia","https://www.linkedin.com/in/carloseduardoespinal, https://www.linkedin.com/in/reshmasohoni, https://www.linkedin.com/in/tomwilsonseedcamp, https://www.linkedin.com/in/sia-houchangnia"
SeedRocket 4Founders Capital,http://www.4founderscapital.com/,VC,,Spain,No,,€12M,"Mar , 2017",x,x,x,,,,x,,,,,,,,x,,x,,,,,,,,Generalist,"https://www.linkedin.com/in/a-martin-ad, https://www.linkedin.com/in/javier-perez-tenessa-1a3239, https://www.linkedin.com/in/jesusmonleon, https://www.linkedin.com/in/joan-cavall%C3%A9-i-oller, https://www.linkedin.com/in/juliadigonquintilla, https://www.linkedin.com/in/marc-castilblanco-genebat, https://www.linkedin.com/in/marcbadosa, https://www.linkedin.com/in/marekfodor, https://www.linkedin.com/in/patricia-espaliat-planas-497a7136, https://www.linkedin.com/in/paulablazquez, https://www.linkedin.com/in/rufodelarosa",
Senovo,https://www.senovo.vc/,VC,,Germany,No,--,--,--,,x,x,,,,x,,,,,,,,x,,x,,,x,,,,x,,"https://www.linkedin.com/in/abuchberger, https://www.linkedin.com/in/alberto-giovannetti, https://www.linkedin.com/in/f-mallinckrodt, https://www.linkedin.com/in/lucas-behem, https://www.linkedin.com/in/markusgrundmann, https://www.linkedin.com/in/monagindler",
Sequitur Capital,http://www.sequitur-capital.com/,VC,,Italy,Yes,"Dec , 1899",--,--,,x,x,,,,x,,x,,,,,,x,x,x,,,,,,,x,"SaaS, Data, Enterprise",,
Sequoia,https://www.sequoiacap.com,VC,,USA,No,,$8B,Jun. 2018,,x,x,x,,,x,x,x,x,x,x,,,x,,,x,,x,,,,,"Fintech, Social media","https://www.linkedin.com/in/roelofbotha, https://www.linkedin.com/in/linalfred, https://www.linkedin.com/in/sonyaruihuang","https://www.linkedin.com/in/roelofbotha, https://www.linkedin.com/in/linalfred, https://www.linkedin.com/in/sonyaruihuang"
Seraph Group,http://www.seraphgroup.net/,VC,,USA,No,15+,,"Jun , 2014",,x,x,,$100K,$2M,,,x,,,,,x,x,x,x,x,,x,x,,,,,,
Seraphim Capital,https://seraphim.vc,VC,,UK,Yes,25+,£250M,Aug 2021,X,X,X,X,£250K,£25M,X,X,X,X,X,X,,X,X,,,,,,,,X,,,,
Serena,https://www.serena.vc/,VC,,France,No,"Jan , 1900",€200M,"Oct , 2025",,x,x,x,€200K,€15M,x,,,,,,,,x,,x,X,,,,,X,,Digital products only,,
Serval Ventures,https://www.servalventures.com/,VC,,USA,No,,--,--,x,x,x,,,,x,x,x,x,x,x,,,x,,,,,,,,x,,"AI/ML, Data Analytics, AR/VR, Blockchain, CleanTech",,
SET Ventures,http://www.setventures.com/,VC,,Netherlands,No,,€200M,"Sept, 2024",,x,x,,€500K,€5M,x,x,,,,,,,x,x,x,x,,,,,x,x,,,
Seventure Partners,http://www.seventure.fr/en/,VC,Natixis,France,Yes,40+,€200M,"Mar , 2019",x,x,x,x,€1M,€10M,x,,x,x,x,,,,x,,x,,x,x,x,x,,,,,
SGH Capital,https://www.sghcapital.com/,VC,,Luxembourg,No,,--,--,,x,x,x,,,x,,x,,India,,,,x,,x,,,x,,x,,,"Consumer, Enterprise","https://www.linkedin.com/in/alexandre-azoulay-48a87, https://www.linkedin.com/in/guillaume-d-010724, https://www.linkedin.com/in/karine-arama-713b2a104, https://www.linkedin.com/in/vincent-sorgiati-361770206",
SGInnovate,https://www.sginnovate.com/,VC,,Singapore,Yes,20+,--,--,,x,x,,,,,,,,x,,,,x,,x,,,x,,,,x,,"https://www.linkedin.com/in/benjamin-l-35971859, https://www.linkedin.com/in/hhtong, https://www.linkedin.com/in/jasmine-qiu-xiaoli, https://www.linkedin.com/in/jaz-linn-n-085a5b118, https://www.linkedin.com/in/jesslyn-tang-605398180, https://www.linkedin.com/in/kellie-chan-0a495759, https://www.linkedin.com/in/ong-kok-chung, https://www.linkedin.com/in/pravar93, https://www.linkedin.com/in/suchitranarayan, https://www.linkedin.com/in/tricia-chong-7823203",
Shadow Ventures,https://shadow.vc/,VC,,USA,No,,--,--,,x,,,,,x,x,x,x,x,x,,,x,x,x,x,x,,,,x,x,,,
Sharpstone Capital,https://sharpstone-capital.fr/,VC,,France,No,,--,--,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
Shasta Ventures,http://shastaventures.com/,VC,,USA,No,,$325M,Apr. 2019,,,x,x,,,,,x,,,,,x,x,x,x,,,,,,,,"Consumer, Enterprise",,
Shell Ventures,https://www.shell.com/energy-and-innovation/new-energies/shell-ventures.html,CVC,Shell,Netherlands,No,,$1.4B,"Nov, 2021",,,x,x,$2M,$5M,x,x,x,x,x,x,,,,,x,x,,,,,x,x,,,
Shenzen Valley Ventures,https://svv.io/,VC,,China,Yes,--,--,--,,x,,,,,x,,x,,x,,,,x,x,x,,,,,,,,Hardware,,
Sherpa Capital,https://www.sherpacapital.es,VC,,Spain,No,,€250M+,"Jun , 2020",,,x,x,,,x,,,,,,,,,,,,,x,x,,,x,,,
Sherpa Venture Capital,https://www.sherpa.africa/,VC,,China,Yes,--,--,--,,,x,x,,,,,,,China,,,,,,,,,x,x,,,,,,
Shibumi International,http://www.shibumi-international.com/,CVC,Gülermark,UAE,No,,--,--,x,x,x,,,,x,,x,,,,,,x,,x,x,,,,,x,x,Construction sector,,
Shift Invest,https://shiftinvest.com/home,VC,,Netherlands,No,,€92M,"Jul , 2025",X,x,x,,€250K,€3M,x,,,,,,,,,,,x,,,,x,x,x,biodiversity,,
Shoreline Ventures,https://shorelineventures.com/,VC,,USA,No,,--,--,,x,x,,$250K,,,,x,x,,,,,x,,,,,x,,,,,Data & tech,"https://www.linkedin.com/in/corbinkeith, https://www.linkedin.com/in/joanwrabetz, https://www.linkedin.com/in/michael-kline-b9817, https://www.linkedin.com/in/peter-craddock-29a35, https://www.linkedin.com/in/rbtaylor9, https://www.linkedin.com/in/richmiller",
SIDEC,https://www.sidec.com.my/,VC,,Malaysia,No,,$24M,"Jul , 2025",,x,x,,,,,,,,,,Malaysia,,x,x,x,,x,,,,,,Semiconductor,,
SignalFire,https://www.signalfire.com/,VC,,USA,No,,$500M,"Dec , 2019",,x,x,,,,,,x,,,,,,x,,x,,,x,,,,,"Consumer, Enterprise",https://www.linkedin.com/in/chriswfarmer,https://www.linkedin.com/in/chriswfarmer
Signia Venture Partners,http://signiaventurepartners.com/home/,VC,,USA,No,,$85M,"Sep , 2019",,x,x,,,,,,x,,,,,,x,,,,,,,,,x,"Social, Enterprise, Fintech",,
Silicon Roundabout Ventures,https://siliconroundabout.ventures,VC,,UK,Yes,,£10M,"Feb,2023",x,x,,,£100K,£300K,x,,,,,,,,x,x,x,x,,,,,x,,,,
Silk Capital,https://www.silkcapital.net/en/,VC,,Uzbekistan,No,,--,--,,,,x,,,,,,,x,,,,,,,x,x,,,,,x,Related to the OBOR initiative,,
Silver Lake,https://www.silverlake.com,VC,,USA,No,,$2B,"May , 2019",,,,x,,,,,x,,x,,,,,,,,,,,,,,,,
Simple Food Ventures,https://simplefoodventures.co/,VC,,,No,--,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Sinai Ventures,https://sinaivc.com/,VC,,USA,No,,$100M,"Mar , 2018",,x,x,,,,,,x,,,,,,x,x,x,,,x,,x,x,x,Internet & Software,,
Singtel Innov8,https://innov8.singtel.com/,CVC,Singtel,Singapore,No,,$250M,"Mar , 2020",,x,x,x,SGD100K,SGD30M,x,x,x,x,x,x,,,x,x,,,,,,,,,Digital,,
Singularity University Ventures,http://su.org/ventures,VC,,USA,No,,--,--,x,x,,,,,x,x,x,x,x,x,,x,x,x,x,x,,x,,x,x,x,Global Impact,"https://www.linkedin.com/in/habibfrost, https://www.linkedin.com/in/peterdiamandis",
Sinovation Ventures,http://www.sinovationventures.com/,VC,,China,No,,RMB2.5B,"Jun , 2019",,x,x,x,,,,,x,,China,,,,x,,x,,,,,,,,,,
Siparex,https://www.siparex.com/en/,VC,,France,No,,€125M,Oct. 2019,,x,x,x,,,x,,,,,,,,x,x,x,x,x,,,x,x,x,,,
Situlus Holding,https://www.situlus.at/,VC,,Austria,No,,--,--,,x,x,x,€500K,€2M,"Germany, Austria, Switzerland",,,,,,,,x,x,x,x,x,,,,x,x,,,
SJF Ventures,https://sjfventures.com/,VC,,USA,No,10+,$175M,"Feb , 2021",,,x,x,$1M,$10M,,,x,,,,,,,,x,x,,,,x,x,x,,,
SK Telecom Ventures,https://www.skta.com/cvc/,CVC,SK Telecom,USA,Yes,20+,$100M,--,,x,x,,$1M,,,,x,,,,,x,x,x,x,x,x,x,,,,,"Mobile, Enterprise",,
SK Ventures,http://skvcap.com/,VC,,USA,No,5+,--,"Jan , 2018",x,x,x,,,,,,x,,,,,,x,,,,,x,,,,,,,
Skyfall Ventures,https://www.skyfallventures.no/,VC,,Norway,No,,NOK50M,"Feb , 2020",,x,x,,,,Nordics,,,,,,,,x,,x,x,,x,,,x,,,,
Slater Fund,https://slaterfund.com/,VC,,USA,Yes,20+,--,--,,x,x,,,$50K,,,x,,,,,,x,x,x,x,,x,x,,x,,,"https://www.linkedin.com/in/alden-anderson-1237228, https://www.linkedin.com/in/bchatham, https://www.linkedin.com/in/bethany-jenkins-486b877, https://www.linkedin.com/in/bob-maccini-482a16, https://www.linkedin.com/in/christopher-graham-7280a911a, https://www.linkedin.com/in/don-stanford-5669322, https://www.linkedin.com/in/jason-harry-254196, https://www.linkedin.com/in/jayne-donegan-6710854b, https://www.linkedin.com/in/jonathan-mancini-305a1aa, https://www.linkedin.com/in/kevinwilbur, https://www.linkedin.com/in/kimani-toussaint-9b42732a0, https://www.linkedin.com/in/lawrence-larson-0331924, https://www.linkedin.com/in/louguercia, https://www.linkedin.com/in/nancy-gray-7737b476, https://www.linkedin.com/in/pmandeville, https://www.linkedin.com/in/stephen-eaves-47869a33, https://www.linkedin.com/in/thorne-sparkman-3732311, https://www.linkedin.com/in/zking",
Slow Ventures,http://www.slow.co/,VC,,USA,No,,$210M,"Apr , 2019",,x,x,,,,,,x,,,,,,x,,x,,,x,,x,,x,,"https://www.linkedin.com/in/billyfilm, https://www.linkedin.com/in/megan-lightcap-513ab96b",
Smart Infrastructure Venture,https://siventures.de/,VC,,Germnay,No,,€30M,Aug 2025,x,x,,,,,x,,,,,,,,x,x,x,x,,,,,x,,,,
SMBC Venture Capital,http://www.smbc-vc.co.jp/,VC,SMBC,Japan,No,,--,--,,x,x,x,,,,,,,Japan,,,x,x,,x,,,x,,x,,,,,
SNÖ Ventures,https://sno.vc,VC,,Norway,No,--,$100M,"Jun , 2021",x,x,x,,,,Nordic Europe,,,,,,,,x,,,,,,,,,,Not very DT - Digital & AI focused,,
Social Capital,https://www.socialcapital.com/,VC,,USA,No,,$600M,"Sep , 2018",,x,x,x,,,x,x,x,x,x,x,,x,x,x,x,,,x,,x,,,"Consumer, Enterprise",https://www.linkedin.com/in/chamath,https://www.linkedin.com/in/chamath
Social Impact Capital,https://social-impact-capital.com/,VC,,USA,No,20+,$42M,"Nov , 2019",x,x,x,,,,x,x,x,x,x,x,,,x,,,x,,x,x,,x,,,,
Social Starts,https://www.socialstarts.com/,VC,,USA,No,,--,--,,x,,,,,x,x,x,x,x,x,,,x,,x,,,x,x,x,,,"Mobile, Digital",https://www.linkedin.com/in/mikeedelhart,
Socialatom Ventures,https://www.socialatomgroup.com/,VC,,USA,No,,--,--,,x,,,,,,,,,,,Latin America,,x,,,,,x,,,,,"IT, Security, Consumer",,
Sodexo Ventures,https://sodexo-ventures.com/,CVC,Sodexo,France,No,,€50M,Nov. 2016,,x,x,,,,,,,,,,,,x,x,,,,x,,x,,x,"Wellness, consumer",,
Sofimac Innovation,https://www.sofimac-im.com/,VC,,France,Yes,50+,€60M,"Apr , 2020",x,x,,,€100K,€1M,x,,,,,,,x,x,x,x,x,x,x,,,x,x,,,
Sofinnova Partners,https://www.sofinnova.fr/,VC,,France,Yes,100+,€200M,Oct. 2023,,x,x,x,,,x,,,,,,,,,,,,,x,x,,,,,,
Sofiproteol,https://www.sofiproteol.com/,VC,Groupe Avril,France,No,,€100M,Jan. 2018,,,x,x,€5M,€10M,x,,,,,,,,,,,,,,,x,,,,,
