id,firstname,lastname,contactType,jobTitle,description,favoriteUrl,urls,favoriteAddress,addresses,companies,nbInteractions,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Country,investment,linkedin-private-codex,linkedin-private-claude
8ea028f8-8bbf-47cc-ad0e-2799fa619ab6,Pranav,Pai,person,Founding Partner and Chief Investment Officer,Founding Partner at 3one4 Capital,https://www.linkedin.com/in/pranavpai,https://www.linkedin.com/in/pranavpai,,,EdCast,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,India,8,https://www.linkedin.com/in/pranavpai,https://www.linkedin.com/in/pranavpai
90acc57b-94ad-4571-8640-43df09989b17,Fernand,Lendoye,person,"Head of Digital Partnerships, HSBC Life",,https://www.linkedin.com/in/fernandlendoye,https://www.linkedin.com/in/fernandlendoye,,,HSBC,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Singapore,10,https://www.linkedin.com/in/fernandlendoye,https://www.linkedin.com/in/fernandlendoye
90da42ca-f86a-4727-a781-f1199b20660b,Ivan,Shestakov,person,Оператор линии,,https://www.linkedin.com/in/lichtgestalt,https://www.linkedin.com/in/lichtgestalt,,,,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Singapore,3,https://www.linkedin.com/in/lichtgestalt,https://www.linkedin.com/in/lichtgestalt
91985cb9-9a92-4ff1-b623-54c883d8613e,Manik,Lather,person,Portfolio Manager,,https://www.linkedin.com/in/manik-lather-45490914,https://www.linkedin.com/in/manik-lather-45490914,,,Balyasny Asset Management L.P.,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,Hong Kong SAR,5,https://www.linkedin.com/in/manik-lather-45490914,https://www.linkedin.com/in/manik-lather-45490914
96d12395-af89-4c1b-a757-048d49e593c3,Ankul,Maheshwari,person,Founder,,https://www.linkedin.com/in/ankulmaheshwari,https://www.linkedin.com/in/ankulmaheshwari,,,CENSIE Capital Partners,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,India,1,https://www.linkedin.com/in/ankulmaheshwari,https://www.linkedin.com/in/ankulmaheshwari
96e03563-9f81-4997-afd3-86dbfb1db605,Gavin,Teo,person,General Partner,,https://www.linkedin.com/in/gavinteo,https://www.linkedin.com/in/gavinteo,,,Altara Ventures,0,"Data Investors In Asia ,Gen AI Investors In Asia",2026-02-15T20:35:05.477Z,Mirza Asceric,2026-02-15T20:38:22.892Z,Mirza Asceric,Singapore,7,https://www.linkedin.com/in/gavinteo,https://www.linkedin.com/in/gavinteo
97c4f593-cdc1-4f1b-a64e-375281983154,Sanjay,Nath,person,Co-founder & Managing Partner,,https://www.linkedin.com/in/sanjaynath,https://www.linkedin.com/in/sanjaynath,,,Blume Ventures,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,India,2,https://www.linkedin.com/in/sanjaynath,https://www.linkedin.com/in/sanjaynath
99d69248-b3f7-4db1-8ca2-aad5d17d5f3d,Lawrence,Low,person,Head of Venture Capital & Direct Private Transactions,,https://www.linkedin.com/in/lawrencelow,https://www.linkedin.com/in/lawrencelow,,,AIA Group Limited,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,Singapore,5,https://www.linkedin.com/in/lawrencelow,https://www.linkedin.com/in/lawrencelow
9b3cf69f-5a4d-4a2d-9870-ded5eb16c9aa,Maarten,Hemmes,person,Managing Director,,http://www.linkedin.com/in/maartenhemmes,http://www.linkedin.com/in/maartenhemmes,,,HH Family,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Singapore,5,https://www.linkedin.com/in/maartenhemmes,https://www.linkedin.com/in/maartenhemmes
9ddd3a0c-bc07-49d6-ae87-ccabcbc021c4,Catherine,Leung,person,Co Founder and Partner,,https://www.linkedin.com/in/catherine-leung-ab9b5999,https://www.linkedin.com/in/catherine-leung-ab9b5999,,,MizMaa,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Hong Kong SAR,9,https://www.linkedin.com/in/catherine-leung-ab9b5999,https://www.linkedin.com/in/catherine-leung-ab9b5999
a07e8bca-2018-49f7-9072-16c058e14f97,Karan,Ahuja,person,Fund Manager,,https://www.linkedin.com/in/karanahuja1,https://www.linkedin.com/in/karanahuja1,,,moneycontrol.com,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,India,2,https://www.linkedin.com/in/karanahuja1,https://www.linkedin.com/in/karanahuja1
