id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoriteAddress,addresses,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Countries of Investment,Stage of Investment,linkedin-private-codex,linkedin-private-claude
7a23cc3c-e0e3-4fb6-8503-2fb520a4e926,SuperCharger Ventures,company,,SuperCharger Ventures is a EdTech accelerator dedicated to business development.,,https://www.superchargerventures.com/,https://www.superchargerventures.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"Denmark,Greece,Kuwait,Japan,Ukraine,Norway,Latvia,Belgium,Germany,Iceland,USA,El Salvador,Qatar,Algeria,UAE,Czech Republic,Russia,Albania,Switzerland,Singapore,Estonia,Cyprus,Kazakhstan,Saudi Arabia,France,Israel,Egypt,Lithuania,Georgia,Colombia,Canada,Ireland,Indonesia,UK,Laos,Hong Kong,Argentina,Belarus,India,Finland,Sweden,Portugal,Turkey,Mexico,Hungary,Nigeria,Italy,Australia,Brazil,Bangladesh,Vietnam,Spain,Jordan,Pakistan,Kenya,Armenia,Austria,South Korea","3. Early Revenue,1. Idea or Patent,2. Prototype,4. Scaling","https://www.linkedin.com/in/alessandrodilullo, https://www.linkedin.com/in/alexander-aabol-6224b923b, https://www.linkedin.com/in/benita-faith-pushpam-3a80891aa, https://www.linkedin.com/in/indhuja-p-vijayan-54a929174, https://www.linkedin.com/in/iusef, https://www.linkedin.com/in/janosbarberis, https://www.linkedin.com/in/mar%C3%ADa-oliver-román-9467a2157","https://www.linkedin.com/in/alessandrodilullo/, https://www.linkedin.com/in/alexander-aabol-6224b923b/, https://www.linkedin.com/in/benita-faith-pushpam-3a80891aa/, https://www.linkedin.com/in/indhuja-p-vijayan-54a929174/, https://www.linkedin.com/in/iusef/"
c18cb2a0-a70a-408a-aadb-b5dca85ea637,Sweet Capital,company,,"Consumer, Mobile, Venture Capital",,https://sweetcapital.com/,https://sweetcapital.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"Germany,USA,France,Finland,Sweden,UK","3. Early Revenue,2. Prototype",,
9ab99ae0-00c2-48d2-a714-00113a93b07b,Syncona,company,,,,https://www.synconaltd.com/,https://www.synconaltd.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,3. Early Revenue,,
bfbbfa68-7076-487d-a40c-d86ef8694e23,Talis Capital,company,,"Finance, Financial Services, FinTech, Venture Capital",,https://www.taliscapital.com,https://www.taliscapital.com,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"Norway,Denmark,Germany,USA,France,Spain,UK","3. Early Revenue,4. Scaling",,
55c19446-ccb7-45af-a600-3ec7ce21729e,Techstart Ventures,company,,,,https://www.techstart.vc/,https://www.techstart.vc/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,"3. Early Revenue,1. Idea or Patent,2. Prototype",,
8a6b613b-53bb-46dc-9079-fe2955b1b46b,The Net Street Capital,company,,,,https://thenetstreet.com/,https://thenetstreet.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:03.788Z,Mirza Asceric,2026-02-15T20:29:03.868Z,Mirza Asceric,"Chile,China,Germany,Netherlands,France,Israel,Mexico,Italy,Brazil,Spain,Ecuador,UK","3. Early Revenue,5. Growth,4. Scaling",,
0a4c110a-7bc5-4cd1-b630-d490944990c0,TwinklHive,company,,TwinklHive provides seed funding and supportive services to tech startups.,,https://www.twinkl.co.uk/hive,https://www.twinkl.co.uk/hive,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:03.788Z,Mirza Asceric,2026-02-15T20:29:03.868Z,Mirza Asceric,"USA,UK",3. Early Revenue,,
1773bc89-009c-49af-9998-9ad14e4478cd,UCL Technology Fund,company,,,,https://www.ucltf.co.uk/,https://www.ucltf.co.uk/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,3. Early Revenue,,
cf3a4e2f-4530-4bc1-bddf-b1058963e879,Ufi Ventures,company,,,,https://ufi.co.uk/ufi-ventures/,https://ufi.co.uk/ufi-ventures/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:03.788Z,Mirza Asceric,2026-02-15T20:29:03.868Z,Mirza Asceric,UK,3. Early Revenue,,
663e111e-595e-4c27-ad29-ad346ae11848,VentureFounders,company,,,,https://www.venturefounders.co.uk/,https://www.venturefounders.co.uk/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,3. Early Revenue,,
a3fa27c7-5262-4678-aca0-2ecc03e7eb71,Vitruvian Partners,company,,"Vitruvian Partners is an equity firm that specializes in middle-market buyouts, growth buyouts, and growth capital investments.",,http://www.vitruvianpartners.com,http://www.vitruvianpartners.com,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,Israel,Canada,UK",4. Scaling,,
e402db83-949c-41b7-98e3-3e53737148bb,Vodafone Ventures,company,,"Vodafone Ventures firm specializes in investments in seed/start up, early stage, and mid stage in wireless and Internet sectors.",,https://www.vodafone.com/business/why-vodafone/vodafone-business-ventures,https://www.vodafone.com/business/why-vodafone/vodafone-business-ventures,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,Israel,Canada,UK","3. Early Revenue,2. Prototype,4. Scaling",,
0e4d45ba-0b11-4928-9d07-d148b6d42a0d,Wellcome,company,,,,https://wellcome.ac.uk/news/directors-update-taking-risks-bold-ideas,https://wellcome.ac.uk/news/directors-update-taking-risks-bold-ideas,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,Israel,Canada,UK","3. Early Revenue,4. Scaling",,
f79ad175-1ce4-4531-ab3f-b055a0aeb2c3,Wren Capital,company,,,,https://www.wrencapital.co.uk/,https://www.wrencapital.co.uk/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:03.788Z,Mirza Asceric,2026-02-15T20:29:03.868Z,Mirza Asceric,UK,3. Early Revenue,,
