Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
Pappas Capital,VC,"USA,Canada",USA,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://www.pappas-capital.com/,
Siparex,VC,France,France,"🔬 Deep Tech,💻 Software",min. $300k,"3. Early Revenue,4. Scaling",,N/A,https://www.siparex.com/en/,
Andreessen Horowitz,VC,"USA,Israel,Canada","Menlo Park, California, United States","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://a16z.com/,
Innogest Capital,VC,"Italy,USA",Italy,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.innogestcapital.com/,
OATV - O'Reilly AlphaTech Ventures,VC,USA,N/A,N/A,N/A,N/A,,N/A,http://oatv.com/,
Posco Venture Partners,Corporate VC,South Korea,"Seoul, Seoul-t'ukpyolsi, South Korea",N/A,N/A,N/A,,N/A,http://www.poscoventure.co.kr,
Scientipole Capital,VC,France,France,🔬 Deep Tech,min. $100k,3. Early Revenue,,N/A,https://scientipolecapital.fr/,
Alliance Entreprendre,VC,France,N/A,"💻 Software,🔬 Deep Tech",min. $1M,"3. Early Revenue,4. Scaling",,N/A,https://www.allianceentreprendre.com/en/,
Third Wave Digital,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.thirdwavedigital.com/,
Spark Capital,VC,"USA,Israel,Canada","San Francisco, California, United States","🔬 Deep Tech,💻 Software",N/A,"2. Prototype,3. Early Revenue",,N/A,https://www.sparkcapital.com/,
Katjesgreenfood,Corporate VC,Germany,"Berlin, Berlin, Germany",N/A,N/A,N/A,,https://www.linkedin.com/company/katjesgreenfood-gmbh-co-kg/,http://www.katjesgreenfood.berlin/,
Y Soft Ventures,Corporate VC,Czech Republic,"Brno, Jihomoravsky kraj, Czech Republic",N/A,N/A,N/A,,https://www.linkedin.com/showcase/5392034/,http://www.ysoftventures.com,
Pi Ventures,VC,India,India,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://www.piventures.in/,
Pirveli Ventures,VC,"Israel,Canada",Canada,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,https://www.pirveliventures.com/,
AgriTech Hubs,VC,Poland,Poland,"🔬 Deep Tech,💻 Software",N/A,2. Prototype,,N/A,http://agritechhub.com/,
WP Global Partners,Family office,USA,"Chicago, Illinois, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/108847,http://www.wpglobalpartners.com,
Element Partners,VC,USA,USA,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://www.elementpartners.com/,
Decheng Capital,Other,"USA,China",N/A,N/A,N/A,N/A,,N/A,http://www.decheng.com/,
Yamaha Motor Ventures & Laboratory Silicon Valley,Corporate VC,USA,"Palo Alto, California, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/7802368/,https://www.ymvsv.com/,
Arkley Brink,VC,"USA,Israel,Canada,Poland",Poland,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://arkleybrinc.vc/,
Skip Capital,VC,Australia,Australia,N/A,N/A,N/A,,N/A,https://www.skipcapital.com,
Auriga Partners,VC,France,France,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.auriga.vc/,
Rustic Canyon Partners,Other,USA,"Santa Monica, California, United States",N/A,N/A,N/A,,N/A,http://www.rusticcanyon.com/,
FoundersX,VC,USA,USA,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,https://www.foundersxventures.com/about,
Bodley Group,Family office,USA,"St Louis, Missouri, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/bodley-group,http://www.bodleygroup.com,
Insight Family Office,Family office,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/insight-family-office/,https://insightfamilyoffice.com,
Voyager Capital,Other,USA,"Seattle, Washington, United States",N/A,N/A,N/A,,N/A,https://www.voyagercapital.com/,
Coinbase Ventures,Corporate VC,USA,"San Francisco, California, United States",N/A,N/A,N/A,,N/A,https://ventures.coinbase.com/,
Exto Partners,VC,Australia,Australia,N/A,min. $2M,N/A,,N/A,http://www.extopartners.com/,
StartupHealth,VC,"Israel,USA,Canada","New York, New York, United States",🔬 Deep Tech,min. $20k,"2. Prototype,3. Early Revenue",,N/A,https://www.startuphealth.com/,
Yendys Capital,VC,Australia,Australia,N/A,min. $5M,N/A,,N/A,https://www.yendys.com/,
Aquiti Gestion,Other,France,"11 Rue des Gamins, Bâtiment B2, 7ème étage - 33 800 Bordeaux",N/A,N/A,N/A,,N/A,http://www.aquiti.fr/,
Citic Metal,Corporate VC,China,"Beijing, Beijing, China",N/A,N/A,N/A,,N/A,http://www.metal.citic.com,
Archer Gray,Corporate VC,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/archer-gray-productions,http://www.archergray.com/,
Santander InnoVentures,Corporate VC,"UK,USA","London, England, United Kingdom","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,https://www.linkedin.com/company/santander-innoventures,https://santanderinnoventures.com/,
North Bridge,VC,"USA,Israel,Canada","Wellesley, Massachusetts, United States","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.northbridge.com,
FundRx,VC,"USA,Canada",USA,🔬 Deep Tech,min. $250k,3. Early Revenue,,N/A,https://fundrx.com/,
Monk’s Hill Ventures,VC,USA,Singapore,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.monkshill.com/,
Insta Ventures,VC,"USA,Israel,Canada",Cyprus,"🔬 Deep Tech,💻 Software",min. $500k,3. Early Revenue,,N/A,https://insta.vc/,
Yuuwa Capital,VC,Australia,Australia,N/A,N/A,N/A,,N/A,https://yuuwa.com.au/,
Beacon Capital (USA),Family office,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/beacon-capital-llc-/,https://www.beaconcapital.org/,
Invesco,VC,"Canada,Israel,USA",USA,"💻 Software,🔬 Deep Tech",N/A,N/A,,N/A,https://www.invesco.fr/fr,
Baxalta Ventures,Corporate VC,USA,"Cambridge, Massachusetts, United States",N/A,N/A,N/A,,N/A,http://www.baxalta.co.uk/research-development/baxalta-ventures.page?,
Talis Capital,VC,"USA,UK",UK,"🔬 Deep Tech,💻 Software",min. $1M,3. Early Revenue,,N/A,https://www.taliscapital.com,
Harvest Global Investments,Corporate VC,Hong Kong,"Central, Hong Kong Island, Hong Kong",N/A,N/A,N/A,,N/A,http://www.harvestglobal.com.hk/en/home/,
Grotech Ventures,Other,USA,"Vienna, Virginia, United States",N/A,N/A,N/A,,N/A,https://www.grotech.com/,
G2VP,VC,USA,USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.g2vp.com/,
Prasetia Dwidharma,Corporate VC,"Indonesia,USA","Jakarta Pusat, Jakarta Raya, Indonesia","🔬 Deep Tech,💻 Software",N/A,N/A,,N/A,http://www.prasetia.co.id/investment,
Transamerica Ventures,Corporate VC,USA,"New York, New York, United States",N/A,N/A,N/A,,http://www.linkedin.com/company/transamerica,http://www.transamericaventures.com,
Congruent Ventures,VC,USA,USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.congruentvc.com/,
Mainport Innovation Fund,VC,Netherlands,Netherlands,"🔬 Deep Tech,💻 Software",min. $200k,3. Early Revenue,,N/A,https://www.mainportinnovationfund.nl/,
Uniseed,VC,Australia,Australia,N/A,N/A,N/A,,N/A,https://uniseed.com/,
Hard Yaka,Other,USA,"Crystal Bay, Nevada, United States",N/A,N/A,N/A,,N/A,https://hardyaka.com/,
Warburg Pincus,VC,"USA,Israel,Canada",USA,"🔬 Deep Tech,💻 Software",N/A,"3. Early Revenue,4. Scaling",,N/A,https://www.warburgpincus.com/,
Lilly Ventures,Corporate VC,USA,"Indianapolis, Indiana, United States",N/A,N/A,N/A,,N/A,http://www.lillyventures.com,
River Cities Capital,VC,USA,USA,🔬 Deep Tech,min. $5M,N/A,,N/A,http://rccf.com,
Ruffena Capital,VC,"USA,UK",UK,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.ruffena.co.uk/,
Deeptech Ventures,VC,Switzerland,Switzerland,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,https://www.deeptechventures.io/,
Corigin Ventures,VC,"USA,Canada",USA,"🔬 Deep Tech,💻 Software",min. $100k,2. Prototype,,N/A,https://www.coriginventures.com/,
Innohub Capital,VC,"Australia,China",China,N/A,N/A,N/A,,N/A,http://www.innohub.io/,
The Impact Engine,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://www.theimpactengine.com/,
QuestMark Partners,Other,USA,"Baltimore, Maryland, United States",N/A,N/A,N/A,,N/A,https://www.questm.com/,
CincyTech,Other,USA,"Cincinnati, Ohio, United States",N/A,N/A,N/A,,N/A,http://cincytechusa.com/,
M8 Ventures,VC,Australia,Australia,N/A,min. $50k,N/A,,N/A,https://m8.ventures/,
Aube Management,VC,France,France,🔬 Deep Tech,min. $100k,2. Prototype,,N/A,https://www.aube-management.com/en/,
Samsung Ventures,Corporate VC,"USA,South Korea","Seoul, Seoul-t'ukpyolsi, South Korea",💻 Software,N/A,"3. Early Revenue,4. Scaling",,N/A,http://www.samsungventures.com,
Makers Fund,VC,"USA,Israel,Canada",Singapore,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://makersfund.com/,
New Europe Ventures,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,http://www.neweuropevc.com/,
2C Invest,Family office,France,"2, rue Antoine de Saint Exupéry 69002 LYON",💻 Software,N/A,4. Scaling,,N/A,https://www.2cinvest.fr/,
Sailing Capital,VC,"USA,Israel,Canada",Hong Kong,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.sailing-capital.com.hk/,
The Thiel Foundation,Family office,USA,"San Francisco, California, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/the-thiel-foundation,http://thielfoundation.org,
CMB Capital,VC,Australia,Australia,N/A,N/A,N/A,,N/A,https://www.cmbcapital.com.au,
Raffay Ventures,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://raffay.com/,
Supernova Invest,VC,France,France,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://supernovainvest.com/,
Glenrock Israel,VC,Israel,Israel,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.grg.co.il/about-us,
Carnrite Ventures,Corporate VC,USA,"Houston, Texas, United States",N/A,N/A,N/A,,N/A,http://carnritegroup.com/ventures/,
DCM Ventures,VC,USA,"Menlo Park, California, United States","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.dcm.com/,
Drads Capital,VC,USA,USA,🔬 Deep Tech,N/A,N/A,,N/A,https://www.dradscapital.com/,
Mercado Libre Fund,Corporate VC,Argentina,"Buenos Aires, Distrito Federal, Argentina",N/A,N/A,N/A,,N/A,https://www.mercadolibre.com/fund,
Accel Partners,VC,"UK,USA,France,India","1 New Burlington Pl, Mayfair, London W1S 2HR, United Kingdom","🔬 Deep Tech,💻 Software",N/A,"3. Early Revenue,4. Scaling",,https://www.linkedin.com/company/accel-vc/,https://www.accel.com/,
Local Globe,VC,"UK,France",UK,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://localglobe.vc/,
TMI Telkomsel Mitra Inovasi,Corporate VC,Indonesia,"Jakarta, Jakarta Raya, Indonesia",N/A,N/A,N/A,,https://www.linkedin.com/company/tselinvestments/,https://www.tmi.id,
Avista Investments,Family office,USA,"Monrovia, California, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/avista-investments-llc/,http://www.avista.la,
Otium Capital,VC,France,N/A,💻 Software,min. $500k,3. Early Revenue,,N/A,https://www.otiumcapital.com/,
Loyal VC,VC,"USA,Israel,Canada",Canada,"🔬 Deep Tech,💻 Software",N/A,2. Prototype,,N/A,https://loyal.vc/,
Agility Ventures,Corporate VC,Singapore,"Singapore, Central Region, Singapore",N/A,N/A,N/A,,N/A,https://www.agility.com/en/agility-ventures/,
UnityVC,VC,China,China,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.unityvc.com/en.html?12h10c#page1,
Cascade Investment,Family office,USA,"Colorado Springs, Colorado, United States",N/A,N/A,N/A,,https://www.linkedin.com/company-beta/384680/,http://www.ciginc.net,
Launch,Angel network,USA,"San Francisco, California, United States",💻 Software,N/A,N/A,,N/A,https://launch.co/,
Wooshin Venture Investment,Other,South Korea,N/A,N/A,N/A,N/A,,N/A,http://www.wooshinvc.com/,
iSource Gestion,Other,France,N/A,N/A,N/A,N/A,,N/A,https://www.sofimacinnovation.com/,
Cultivation Capital,Other,USA,"St Louis, Missouri, United States",N/A,N/A,N/A,,N/A,https://cultivationcapital.com/,
IPR.VC,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://ipr.vc/,
Archetype Ventures,VC,"USA,Japan",Japan,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://archetype.vc/,
Evok Innovations,VC,"Israel,USA,Canada",Canada,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://www.evokinnovations.com/,
Super Hero Capital,VC,Finland,Finland,"🔬 Deep Tech,💻 Software",min. $200k,N/A,,N/A,https://www.superherocapital.com/,
Fifty Years,VC,"USA,Israel,Canada",USA,"🔬 Deep Tech,💻 Software",N/A,"2. Prototype,3. Early Revenue",,N/A,https://www.fifty.vc/,
Stargate Capital Investment Group,Corporate VC,UK,"London, England, United Kingdom",N/A,N/A,N/A,,N/A,http://www.stargatecapital.co.uk,
Aschendorff Next,Corporate VC,Germany,"Münster, Nordrhein-Westfalen, Germany",N/A,N/A,N/A,,https://www.linkedin.com/company/aschendorff-next/,https://www.aschendorff-next.de/,
ADV Accelerated Digital Ventures,VC,UK,UK,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://accelerated.ventures/,
Outpost Capital,VC,"USA,China",USA,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://www.outpostvc.com/,
Revolution,Other,USA,"Washington, District of Columbia, United States",N/A,N/A,N/A,,N/A,https://www.revolution.com/,
Scale Capital,Other,N/A,N/A,N/A,N/A,N/A,,N/A,http://www.scalecapital.com/,
HP Tech Ventures,Corporate VC,"Israel,USA,France","Palo Alto, California, United States","🔬 Deep Tech,💻 Software",min. $1M,3. Early Revenue,,N/A,https://hptechventures.com/,
Tiger Global Management,Other,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,https://www.tigerglobal.com/home,
Second Century Ventures,Corporate VC,"USA,Australia,UK,Canada","Chicago, Illinois, United States",N/A,min. $1M,N/A,,https://www.linkedin.com/company/704135/,http://www.secondcenturyventures.com,
Qiming Venture Partners,VC,"China,USA",China,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,"We invest in information technology and new consumer business patterns. We focus on mobile internet, social networking, and entertainment. We value how technology redefines business, education, and transport.   Seventy percent of our investments are in Series-A.  We have great interests in China' s manufacturing upgrade opportunities.  Our healthcare investments are majorly in diagnostics, R&D, equipment, and services fields. In recent years, we started to pay close attention to AI-related ""Digital Healthcare"" sector.",N/A,https://qimingvc.com/en,
Edison Partners (US),Other,USA,"Princeton, New Jersey, United States",N/A,N/A,N/A,,N/A,https://www.edisonpartners.com/,
Ridge Ventures,Other,USA,"San Francisco, California, United States",N/A,N/A,N/A,,N/A,https://ridge.vc/,
Emerson Collective,Family office,USA,"Palo Alto, California, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/emerson-collective,https://www.emersoncollective.com/,
Boldstart Ventures,VC,USA,"New York, New York, United States","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.boldstart.vc/,
Mindrock Capital,Family office,USA,"San Francisco, California, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/mindrock/,http://mindrock.capital,
Steelhead Peak,Family office,USA,"Portland, Oregon, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/19139988/admin/,https://www.steelheadpeak.com/,
TYLT Ventures,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://www.tyltventures.com/,
Cathay Capital,Corporate VC,"Singapore,China,France,USA",France,"🔬 Deep Tech,💻 Software",min. $5M,3. Early Revenue,,N/A,http://www.cathay.fr/en/,
Endure Capital,VC,"USA,Israel,Canada",USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.endurecap.com/,
Miramar Ventures,VC,"USA,Canada",USA,"🔬 Deep Tech,💻 Software",min. $100k,3. Early Revenue,,N/A,https://www.miramarvp.com/,
ABN AMRO Ventures,Corporate VC,Netherlands,"Amsterdam, Noord-Holland, The Netherlands",N/A,N/A,N/A,,https://www.linkedin.com/company/abn-amro/,https://www.abnamro.com/en/about-abnamro/in-society/innovation/abnamro-ventures/index.html,
Luminar Ventures,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.luminarventures.com/,
Black Pearls,VC,Poland,Poland,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://blackpearls.vc/,
Hawkeye Investments,Family office,USA,"Kirkland, Washington, United States",N/A,N/A,N/A,,N/A,http://www.hawkeyeinvestmentsllc.com,
Andera Partners,VC,"USA,France",France,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.anderapartners.com/,
HR Ventures,Corporate VC,Germany,"Dreieich, Hessen, Germany",N/A,N/A,N/A,,https://www.linkedin.com/company/hr-ventures-gmbh/,https://www.hrventures.de/,
Ten Eighty Capital,Family office,USA,"Park City, Utah, United States",N/A,N/A,N/A,,N/A,http://www.teneighty.us,
Ventech China,Corporate VC,China,"Shanghai, Shanghai, China",N/A,N/A,N/A,,http://www.linkedin.com/company/ventech-china,http://www.ventechchina.com/,
Symantec Ventures,Corporate VC,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.symantec.com/symantec-ventures,
Island Capital Partners,VC,"Israel,USA,Canada",USA,🔬 Deep Tech,min. $150k,2. Prototype,,N/A,http://www.peislandcapitalpartners.com/,
Aquarius Equity,VC,UK,UK,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://www.aquariusequity.com/,
Redline Capital,VC,"USA,Israel,Canada,UK",UK,"🔬 Deep Tech,💻 Software",min. $5M,3. Early Revenue,,N/A,https://www.redline-capital.com/,
Blackhorn Ventures,Other,USA,N/A,N/A,N/A,N/A,,N/A,https://blackhornvc.com/,
American Express Ventures,Corporate VC,USA,"Palo Alto, California, United States",N/A,N/A,N/A,,N/A,http://www.amexventures.com,
Slater Fund,VC,USA,USA,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,https://slaterfund.com/,
SAP.io Fund,Corporate VC,"USA,Israel,Canada","Newtown Square, Pennsylvania, United States","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,https://www.linkedin.com/company/13298298,https://sap.io/fund,
SAIC Venture Capital,Corporate VC,USA,"Las Vegas, Nevada, United States",N/A,N/A,N/A,,N/A,https://saicvc.com/,
Saif Partners,Other,"India,China,Hong Kong",N/A,N/A,N/A,N/A,,N/A,http://www.saifpartners.com/,
Ten13,VC,Australia,Australia,N/A,min. $750k,N/A,,N/A,https://ten13.com.au/,
New York Life Ventures,Corporate VC,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,https://www.nylventures.com/,
Joy Capital,Other,N/A,N/A,N/A,N/A,N/A,,N/A,http://www.joycapital.com.cn/?s=en/team/index,
Oxford Capital Partners,VC,"USA,UK",UK,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.oxcp.com/,
BoxGroup,Other,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,https://boxgroup.com/,
ProVenture,Other,N/A,N/A,N/A,N/A,N/A,,N/A,http://www.proventure.no/?lang=en_US,
Cannan Partners,VC,USA,"Menlo Park, California, United States","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.canaan.com/,
Endeavor Catalyst,Corporate VC,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,http://www.endeavorcatalyst.org/,
Gohub by Global Omnium,Corporate VC,USA,Spain,🔬 Deep Tech,min. $500k,3. Early Revenue,,N/A,https://gohub.tech/en/,
Wasatch Global Investors,Other,USA,N/A,N/A,N/A,N/A,,N/A,https://wasatchglobal.com/,
Blackbird Ventures,VC,"Australia,New Zealand",Australia,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://blackbird.vc/,
Kakao Investment,Corporate VC,South Korea,"Seongnam, Kyonggi-do, South Korea",N/A,N/A,N/A,,N/A,http://www.kvgcorp.com,
Amicus Capital (IL),Other,USA,"200 East Randolph Street, Suite 5100, Chicago, IL 60601",N/A,N/A,N/A,,N/A,https://www.amicuscp.com/,
Ubiquity Ventures,VC,USA,USA,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://www.ubiquity.vc/,
Inkef Capital,VC,Netherlands,Netherlands,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.inkefcapital.com/,
KKR,VC,"USA,Israel,Canada",USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.kkr.com/businesses/private-equity,
Illumina Ventures,Corporate VC,USA,"Foster City, California, United States",🔬 Deep Tech,N/A,3. Early Revenue,,https://www.linkedin.com/company/illumina-ventures/,https://www.illuminaventures.com/,
Solon Mack Capital,Family office,USA,"Greenwich, Connecticut, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/solon-mack-capital,http://www.solonmack.com,
Commonwealth Capital Ventures,Other,USA,"Boston, Massachusetts, United States",N/A,N/A,N/A,,N/A,http://www.commonwealthvc.com/,
HKSTP,VC,"USA,Israel,Canada",Hong Kong,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.hkstp.org/innovate-with-us/investment-opportunities/hkstp-ventures/,
Primary Venture Partners,Other,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,https://www.primary.vc/,
Enterprise Equity,VC,USA,Ireland,"🔬 Deep Tech,💻 Software",min. $250k,3. Early Revenue,,N/A,https://www.enterpriseequity.ie/,
Kleiner Perkins,VC,"USA,Israel,Canada,China","Menlo Park, California, United States","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.kleinerperkins.com/,
AmorePacific Ventures,Corporate VC,South Korea,"Seoul, Seoul-t'ukpyolsi, South Korea",N/A,N/A,N/A,,N/A,http://ventures.amorepacific.com,
e.Bricks Ventures,VC,Brazil,Brazil,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.ebricksventures.com/,
GV Google Ventures,Corporate VC,"USA,France,Israel,Canada","Mountain View, California, United States","🔬 Deep Tech,💻 Software",N/A,"3. Early Revenue,4. Scaling",,https://www.linkedin.com/company/g-v-/,https://www.gv.com/,
Odey Asset Management,VC,"USA,Israel,Canada,UK",UK,"🔬 Deep Tech,💻 Software",N/A,N/A,,N/A,https://www.odey.com/,
ND Capital,VC,USA,USA,🔬 Deep Tech,N/A,"2. Prototype,3. Early Revenue",,N/A,https://nd.capital/,
Central Capital Ventura,Corporate VC,Indonesia,"Jakarta, Jakarta Raya, Indonesia",N/A,N/A,N/A,,https://www.linkedin.com/company/central-capital-ventura/,https://centralcapital.vc,
Investible,VC,"Australia,Singapore",Australia,N/A,N/A,N/A,,N/A,https://investible.com/,
Exome Asset Management,Family office,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/exome-asset-management/,https://www.ExomeAsset.com,
Tillery Capital,Family office,USA,"Charlotte, North Carolina, United States",N/A,N/A,N/A,,N/A,http://www.tillerycapital.com/,
Ryall Energy Family Office,Family office,France,N/A,💻 Software,N/A,N/A,,N/A,https://www.ryallenergy.com/,
Charterhouse Strategic Partners,Family office,USA,"Summit, New Jersey, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/10930968?trk=tyah&trkInfo=clickedVertical%3Acompany%2CentityType%3AentityHistoryName%2CclickedEntityId%3Acompany_company_company_company_company_company_company_company_company_10930968%2Cidx%3A0,http://www.charterhousestrategicpartners.com,
Tectonic Capital,VC,USA,USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.tectonic.vc/,
Thomvest Ventures,Other,USA,"San Francisco, California, United States",N/A,N/A,N/A,,N/A,https://thomvest.com/,
Opera Tech Ventures by BNP Paribas,Corporate VC,"USA,Israel,Canada,France",France,"🔬 Deep Tech,💻 Software",min. $1M,3. Early Revenue,,N/A,https://operatechventures.com/,
Hardware Club VC,VC,"USA,Japan,France,Canada",USA,"🔬 Deep Tech,💻 Software",min. $100k,"3. Early Revenue,2. Prototype",,N/A,https://www.hardwareclub.co/,
Montage Ventures,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://montageventures.com/,
Julius Capital Partners,Family office,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,http://www.juliuscap.com,
Krungsri Finnovate,Corporate VC,Thailand,"Bangkok, Krung Thep, Thailand",N/A,N/A,N/A,,N/A,https://www.krungsrifinnovate.com/en/,
Sunstone Partners,VC,USA,USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.sunstonepartners.com/,
Ericsson Ventures,Corporate VC,USA,"Santa Clara, California, United States",🔬 Deep Tech,N/A,3. Early Revenue,,N/A,https://www.ericsson.com/en/about-us/ventures,
MDC Ventures,Corporate VC,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/in/jessicapeltz,http://mdcventures.vc/,https://www.linkedin.com/in/jessicapeltz
Avalancha Ventures,VC,Mexico,Mexico,"🔬 Deep Tech,💻 Software",N/A,2. Prototype,,N/A,https://avalancha.ventures/,
Bryant Stibel,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.bryantstibel.com/,
Q Venture Partners,VC,"Israel,USA,Switzerland",Hong Kong,🔬 Deep Tech,min. $250k,"2. Prototype,3. Early Revenue",,N/A,http://qventure.partners/,
Pegasus Tech Ventures,Other,USA,"San Jose, California, United States",N/A,N/A,N/A,,N/A,https://www.pegasustechventures.com/,
EnBW New Ventures,Corporate VC,Germany,"Karlsruhe, Baden-Wurttemberg, Germany","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,https://www.linkedin.com/company/18194553/,https://www.env.vc,
Excel Venture Management,VC,USA,USA,"🔬 Deep Tech,💻 Software",min. $1M,3. Early Revenue,,N/A,http://www.excelvm.com/menu/,
BrightEdge Fund,Corporate VC,USA,"Atlanta, Georgia, United States",N/A,N/A,N/A,,N/A,https://brightedgefund.org/,
Hovione Capital,VC,Portugal,Portugal,🔬 Deep Tech,N/A,N/A,,N/A,http://www.hovionecapital.com/en/,
UPS Ventures,Corporate VC,USA,"Atlanta, Georgia, United States",N/A,N/A,N/A,,N/A,http://www.ups.com/sef,
Bumble Fund,Corporate VC,USA,"Austin, Texas, United States",N/A,N/A,N/A,,N/A,https://thebeehive.bumble.com/bumble-fund,
Morningside Ventures,VC,"China,USA",China,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.morningside.com/,
TerraVC,VC,"Israel,USA,Canada",UAE,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,https://terra.vc/,
EdVentures by Nahdet Misr Publishing Group,Corporate VC,Egypt,"Gîza, Al Jizah, Egypt",N/A,N/A,N/A,,N/A,https://www.nmedventures.com/,
I2BF Ventures,VC,"USA,Israel,Canada",USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.i2bf.com/,
Aqua Spark,VC,Netherlands,Netherlands,🔬 Deep Tech,min. $250k,3. Early Revenue,,N/A,https://www.aqua-spark.nl/,
