Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
Bluesky Equities,Family office,"Canada,USA,UK,Australia,Germany,Belgium,Spain,France,Switzerland,Norway,Sweden,Denmark,Mexico,China,South Korea,India","150 9 Ave SW, Calgary, Alberta T2P 3H9, CA","💻 Software,⚙️ Enterprise hardware,🔬 Deep Tech,💊 Therapeutics",$50k to $250k,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in global B2B technology companies with >$0 ARR.,https://www.linkedin.com/company/bluesky-equities,http://www.blueskyequities.com/,
P101 Ventures,VC,"Italy,Spain,Germany,Netherlands,Portugal,UK,Greece","Via Chiossetto 1, 20122 Milano, Italy","💻 Software,🔬 Deep Tech",$1M to $5M,3. Early Revenue,We invest in European digital tech startups with $1M+ ARR,https://www.linkedin.com/company/p101/,https://www.p101.it/en/,
Frst,VC,France,"17 rue Bergère, Paris 75009, France","💻 Software,🔬 Deep Tech",$500k to $2.5M,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in seed-stage startups and focus on supporting a new generation of French entrepreneurs with global ambitions.,https://www.linkedin.com/company/frstvc/,https://www.frst.vc/,
Relay Ventures,VC,"Canada,USA","446 Spadina Road, Suite 303 Toronto, ON, M5P 3M2",💻 Software,$500k to $2M,3. Early Revenue,"We invest in early stage startups rethinking the fintech, mobility, proptech and sportstech industries across North America.",https://www.linkedin.com/company/relay-ventures/,https://relayventures.com/,
Seedrs,VC,UK,"Old Street, London, United Kingdom","📱 Consumer hardware,🌡 Medical hardware,💻 Software,💊 Therapeutics",$100k to $8M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We primarily invest in UK-based and European consumer-startups, across all sectors. We occasionally invest in exciting, high-potential B2B startups and love investing in impact businesses.",https://www.linkedin.com/company/seedrs/,https://www.seedrs.com/,
Five Elms Capital,VC,"Argentina,Australia,Belgium,Austria,Bolivia,Brazil,Canada,Chile,Colombia,Denmark,Ecuador,Finland,France,Germany,Italy,Ireland,USA,UK,Switzerland,Sweden,South Africa,Portugal,Norway,New Zealand,Mexico,Venezuela,Israel,Luxembourg,Spain,Costa Rica,Czech Republic,Croatia,Bosnia and Herzegovina,El Salvador,Estonia,Latvia,Iceland,Netherlands,Peru,Ukraine,Slovenia","4801 Main St Suite 700, Kansas City, MO 64112, USA",💻 Software,$5M to $50M,"4. Scaling,5. Growth",We invest $5-50M into B2B software companies in the US or international with $2-20 million in revenues. Minority or majority investments and growth capital or liquidity for founders and early investors.,https://www.linkedin.com/company/five-elms-capital/,https://www.fiveelms.com/,
Takara Capital,VC,France,"45, avenue de la Liberté, L1931, Luxembourg",💻 Software,$300k to $600k,3. Early Revenue,We invest in B2B tech enablers,https://www.linkedin.com/company/takara-capital,https://takaracapital.com/,
Collective Spark,VC,"Turkey,Romania,Bulgaria,Greece,Albania,Azerbaijan,Kazakhstan,Uzbekistan,Serbia,Austria,Czech Republic,Slovakia,Montenegro,Estonia,Latvia,Lithuania,Poland,Ukraine,Bosnia and Herzegovina,Croatia,Italy,Kyrgyzstan,Lebanon",ITU Ayazaga Ari3 Maslak Istanbul,"💻 Software,🔬 Deep Tech",$500k to $1M,"2. Prototype,3. Early Revenue","We invest in early-stage SaaS startups, marketplaces, fintech startups.",https://www.linkedin.com/company/collective-spark/,https://www.collectivespark.com/,
Newark Venture Partners,VC,USA,"Washington St, Newark, New Jersey 07102, US","💻 Software,🔬 Deep Tech",$1M to $2M,"3. Early Revenue,4. Scaling","We invest in early-stage B2B software startups with a thesis around Supply Chain, Logistics, Digital Health, Audio/Voice, FinTech/InsurTech, and Sales/Marketing Solutions.   NVP is an early-stage VC firm backed by Audible, Panasonic, RWJ Barnabas Health, Horizon Blue Cross Blue Shield, Prudential, Dun & Bradstreet, TD Bank, and others.",https://www.linkedin.com/company/newark-venture-partners/,https://www.newarkventurepartners.com/,
Ventech,VC,"France,Germany,Sweden,Finland,Norway,Denmark,Iceland,UK","47 avenue de l'Opéra, Paris, 75002, FR","🔬 Deep Tech,💻 Software",$120k to $7.2M,"2. Prototype,3. Early Revenue,4. Scaling","We invest in daring, internationally-ambitious, European digital entrepreneurs from Day One.",https://www.linkedin.com/company/ventech/,https://www.ventechvc.com/,
Startupfon,VC,"Turkey,USA,Poland,Czech Republic,Hungary,Slovakia,Romania","Kolektif House Levent, Istanbul, Türkiye 34394 , TR",💻 Software,$75k to $200k,"3. Early Revenue,4. Scaling",We invest in seed and early stage startups targeting global expansion.,https://www.linkedin.com/company/17897047,https://startupfon.com/,
Venista Ventures,VC,Germany,"Friesenpl. 4, 50672 Köln, Germany","💻 Software,🔬 Deep Tech",$50k to $150k,"1. Idea or Patent,2. Prototype",We invest in tech-driven enterprise and consumer startups in Germany with a sweetspot in B2B SaaS.,https://www.linkedin.com/company/venistaventures/,https://venista-ventures.com/,
InQvation,VC,"Denmark,Sweden,Norway,Finland,Germany,Estonia,Latvia","Erik Husfeldts Vej 7, Taastrup, 2630, DK","💻 Software,⚙️ Enterprise hardware,🌡 Medical hardware",$200k to $1.5M,"3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in start-ups when we’re sure that our operational skill set, experience and network will bring an original vision to life. We don’t pick and choose specific industries but invest wholeheartedly in teams that believe in the change they bring. And we tend to be among the first institutional investors and like to lead – or co-lead – the early financing rounds.",https://www.linkedin.com/company/inqvation/,https://inqvation.dk/,
Sony Innovation Fund,Corporate VC,"USA,Israel,Japan","1-7-1 Konan Minato-ku, Tokyo, Japan 108-0075, JP","🔬 Deep Tech,💻 Software,🌡 Medical hardware,📱 Consumer hardware,⚙️ Enterprise hardware",$250k to $10M,"3. Early Revenue,4. Scaling","We invest globally in startups that are adjacent to Sony's core business. Areas include Mobility, Health, Deeptech, Industrial IOT, and others.",https://www.linkedin.com/company/11150431/,http://www.sonyinnovationfund.com/,
Bullish,VC,USA,"135 Bowery, Seventh Floor, New York, New York 10002, US","📱 Consumer hardware,💻 Software",$250k to $500k,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage consumer companies in search of remarkability.,https://www.linkedin.com/company/bullish-inc,http://bullish.co/,
Urban Innovation Fund,VC,USA,"San Francisco, CA","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware",$750k to $1.5M,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in startups shaping the future of cities. Areas of interest include mobility, energy & water, future of work, proptech, food, business services/ fintech, health, and civic tech. We provide seed capital and regulatory support to startups - helping them grow into tomorrow's most valued companies.",https://www.linkedin.com/company/urban-innovation-fund,https://www.urbaninnovationfund.com/,
Mayfield Fund,VC,"India,USA","2484 Sand Hill Rd, Menlo Park, California US","🔬 Deep Tech,💻 Software,📱 Consumer hardware,🌡 Medical hardware,⚙️ Enterprise hardware,💊 Therapeutics",$2M to $10M,"3. Early Revenue,4. Scaling,2. Prototype","We invest in: - enterprise. SaaS, infra, dev ops, semi, networking, security - consumer: eCommerce (subscription), marketplaces, health and wellness, financial services, networks & communities, productivity, device-as-a-service - engineering bio: synthetic bio, therapeutics, med devices, sustainable materials and foods - products and services that are not only good potential businesses, but are also good for people, society and planet.",https://www.linkedin.com/company/mayfield-fund,https://www.mayfield.com/,
Diaspora Ventures,VC,"France,USA","San Francisco, USA","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware,🔬 Deep Tech",$50k to $200k,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest at pre-seed stage in the next generation of French entrepreneurs building tech companies in the US.,https://www.linkedin.com/company/diasporavc/,https://www.diaspora.vc/,
Arrebol Capital,VC,"Colombia,Brazil,Mexico,Argentina,Chile,Peru,Uruguay","Los Gatos, CA, USA","💻 Software,🔬 Deep Tech",$25k to $250k,"3. Early Revenue,4. Scaling","We invest in seed stage / series A startups using technology to target the LatAm market. Our main areas of focus are Fintech and Logistics, but we also invest in other verticals where there is empiric evidence of market fit and a proven business model in other geographies.",https://www.linkedin.com/company/arrebol-capital,https://arrebolcap.com/,
Yara Ventures,VC,"Spain,USA,Israel","Unit 4a, Avonbeg Industrial Estate. Long Mile Road. Dublin 12. Ireland","🔬 Deep Tech,💻 Software,💊 Therapeutics",$10k to $250k,"3. Early Revenue,4. Scaling","We invest in startups with tech focus, mainly DeepTech and FoodTech. Seed / early stage.",https://www.linkedin.com/company/yaraventures/,https://yara.vc,
