id,firstname,lastname,contactType,jobTitle,description,favoriteUrl,urls,companies,nbInteractions,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Country,Investment,linkedin-private-codex,linkedin-private-claude
e6422478-39df-49ed-8df5-fc707c1b2482,Mansour,Almulla,person,Group Chief Investment Officer,,https://www.linkedin.com/in/mansour-almulla-6bb17064,https://www.linkedin.com/in/mansour-almulla-6bb17064,ADQ,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,United Arab Emirates,2,https://www.linkedin.com/in/mansour-almulla-6bb17064,https://www.linkedin.com/in/mansour-almulla-6bb17064
e77b0056-9b26-457b-bf5a-c7011b4379ca,Nitai,Alush-Aben,person,Investor,,https://www.linkedin.com/in/nitai-alush-aben-015101,https://www.linkedin.com/in/nitai-alush-aben-015101,SmartMirror,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Israel,5,https://www.linkedin.com/in/nitai-alush-aben-015101,https://www.linkedin.com/in/nitai-alush-aben-015101
e842705e-bda3-41a6-afb3-bd924c092c74,Eran,Bielski,person,General Partner,,https://www.linkedin.com/in/eran-bielski-1baa2049,https://www.linkedin.com/in/eran-bielski-1baa2049,Entrée Capital,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Israel,3,https://www.linkedin.com/in/eran-bielski-1baa2049,https://www.linkedin.com/in/eran-bielski-1baa2049
e87c6033-5527-4e33-be62-8e0cc80fbf87,Samet,Celik,person,Digital Transformation Consultancy,,https://www.linkedin.com/in/sametcelik,https://www.linkedin.com/in/sametcelik,TOBB,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:07.108Z,Mirza Asceric,2026-02-15T20:40:07.108Z,Mirza Asceric,Turkey,1,https://www.linkedin.com/in/sametcelik,https://www.linkedin.com/in/sametcelik
ea01a36d-911e-4853-b3eb-7edcd26b2788,Dalya,T.,person,Board Advisor,,https://www.linkedin.com/in/dalya-t-4b41a54,https://www.linkedin.com/in/dalya-t-4b41a54,CRYSP VERTICAL FARMS,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,United Arab Emirates,1,https://www.linkedin.com/in/dalya-t-4b41a54,https://www.linkedin.com/in/dalya-t-4b41a54
ed059fda-1bc7-4766-b05a-aca4280f29e8,Genco,Alp,person,Founder & CEO,,https://www.linkedin.com/in/genco-alp-4359171,https://www.linkedin.com/in/genco-alp-4359171,Lokum Games,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Turkey,4,https://www.linkedin.com/in/genco-alp-4359171,https://www.linkedin.com/in/genco-alp-4359171
edf95968-f8ef-4b82-883e-af08c18c99ad,Cyril,Solal,person,Co-Founder,,https://www.linkedin.com/in/cyrilcs,https://www.linkedin.com/in/cyrilcs,Squadded,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Israel,4,https://www.linkedin.com/in/cyrilcs,https://www.linkedin.com/in/cyrilcs
ee13f563-efdf-4780-9500-dce3c0f2ba1e,Maged,Shawky,person,Chairman,,https://www.linkedin.com/in/maged-shawky-6a07a03b,https://www.linkedin.com/in/maged-shawky-6a07a03b,Catalyst Partners,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Egypt,1,https://www.linkedin.com/in/maged-shawky-6a07a03b,https://www.linkedin.com/in/maged-shawky-6a07a03b
f02c3966-eb4f-4d15-b863-54f09854d0b0,Yaron,Rosenbaum,person,"CEO, Founder",,https://www.linkedin.com/in/yaronr,https://www.linkedin.com/in/yaronr,,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Israel,2,https://www.linkedin.com/in/yaronr,https://www.linkedin.com/in/yaronr
f0f641e1-2b06-4ff9-9d17-d96a3821d037,Mosam,Gadia,person,building noon pay,,https://www.linkedin.com/in/mosamgadia,https://www.linkedin.com/in/mosamgadia,noon,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,United Arab Emirates,3,https://www.linkedin.com/in/mosamgadia,https://www.linkedin.com/in/mosamgadia
